schedule_id,team_name,conference,division
ARMY,Army,American,American
ECU,East Carolina,American,American
FAU,Florida Atlantic,American,American
NAVY,Navy,American,American
TEM,Temple,American,American
UAB,UAB,American,American
USF,South Florida,American,American
USM,Southern Miss,American,American
LT,Louisiana Tech,American,Athletic
MEM,Memphis,American,Athletic
NMSU,New Mexico State,American,Athletic
RICE,Rice,American,Athletic
TLN,Tulane,American,Athletic
TLSA,Tulsa,American,Athletic
UNT,North Texas,American,Athletic
UTSA,UTSA,American,Athletic
