game_id,season,week,evidence_domain,expected_margin_source_type,expected_margin_provenance,event_time,temporal_order_basis,temporal_order_key,temporal_order_source,temporal_order_source_sha256,team,opponent,venue,pregame_team_rating,pregame_opponent_rating,expected_margin,actual_margin,game_result,prior_rating_state,subsequent_outcomes,source_provenance,observed_at,recorded_at,model_version,configuration_version,split
G2006_P1813,2006,5,GOVERNED_SYNTHETIC,DERIVED_AT_INGESTION,"{""derived_from_actual_result"":false,""model_id"":""BAXTER-MOV-v1.0-R"",""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""retrospective_full_season"":false,""source_type"":""DERIVED_AT_INGESTION"",""transform"":""BAXTER-MOV-v1.0-R: predicted margin A = season HFA x non-neutral indicator + rating A - rating B; ratings centered to zero within season""}",,EXACT_GAME_DATE,"{""game_date"":""2006-09-30"",""season"":2006}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv,f5c6f9460ac284fa959623983de0c549457fe2957cf68cbaf8cb37136469851f,Virginia,Yale,HOME,-7.396720871334866,-30.61432494197945,26.51627680023866,4.0,W,"{""games_played_to_date"":3.0,""opponent_games_played_to_date"":4.0,""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""season_hfa_at_fit"":3.298672729594073}","{""scored_against_game_ids"":[""G2006_P1919""]}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv | Baxter_v1_2006_2011_2024_2025_Complete_Package.zip::Baxter_Ratings_v1_2006_External_Validation.xlsx [Walk Forward],2006-09-30,2006-09-30,BAXTER-MOV-v1.0-R,BAXTER-MOV-v1.0-R-FROZEN-LAMBDA-0.3-CAP-49-MINPRIOR-3,training
G2006_P1816,2006,5,GOVERNED_SYNTHETIC,DERIVED_AT_INGESTION,"{""derived_from_actual_result"":false,""model_id"":""BAXTER-MOV-v1.0-R"",""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""retrospective_full_season"":false,""source_type"":""DERIVED_AT_INGESTION"",""transform"":""BAXTER-MOV-v1.0-R: predicted margin A = season HFA x non-neutral indicator + rating A - rating B; ratings centered to zero within season""}",,EXACT_GAME_DATE,"{""game_date"":""2006-09-30"",""season"":2006}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv,f5c6f9460ac284fa959623983de0c549457fe2957cf68cbaf8cb37136469851f,Harvard,Holy Cross,HOME,-9.049452191683573,-14.3128235496056,8.558666626596569,10.0,W,"{""games_played_to_date"":3.0,""opponent_games_played_to_date"":3.0,""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""season_hfa_at_fit"":3.295295268674543}","{""scored_against_game_ids"":[""G2006_P1908"",""G2006_P1930"",""G2006_P2181""]}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv | Baxter_v1_2006_2011_2024_2025_Complete_Package.zip::Baxter_Ratings_v1_2006_External_Validation.xlsx [Walk Forward],2006-09-30,2006-09-30,BAXTER-MOV-v1.0-R,BAXTER-MOV-v1.0-R-FROZEN-LAMBDA-0.3-CAP-49-MINPRIOR-3,training
G2006_P1822,2006,6,GOVERNED_SYNTHETIC,DERIVED_AT_INGESTION,"{""derived_from_actual_result"":false,""model_id"":""BAXTER-MOV-v1.0-R"",""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""retrospective_full_season"":false,""source_type"":""DERIVED_AT_INGESTION"",""transform"":""BAXTER-MOV-v1.0-R: predicted margin A = season HFA x non-neutral indicator + rating A - rating B; ratings centered to zero within season""}",,EXACT_GAME_DATE,"{""game_date"":""2006-10-07"",""season"":2006}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv,f5c6f9460ac284fa959623983de0c549457fe2957cf68cbaf8cb37136469851f,Maryland,North Carolina,HOME,-2.6845426458097,-24.69570848655082,26.03549121370493,18.0,W,"{""games_played_to_date"":3.0,""opponent_games_played_to_date"":4.0,""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""season_hfa_at_fit"":4.024325372963809}","{""scored_against_game_ids"":[""G2006_P1882"",""G2006_P1896""]}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv | Baxter_v1_2006_2011_2024_2025_Complete_Package.zip::Baxter_Ratings_v1_2006_External_Validation.xlsx [Walk Forward],2006-10-07,2006-10-07,BAXTER-MOV-v1.0-R,BAXTER-MOV-v1.0-R-FROZEN-LAMBDA-0.3-CAP-49-MINPRIOR-3,training
G2006_P1826,2006,6,GOVERNED_SYNTHETIC,DERIVED_AT_INGESTION,"{""derived_from_actual_result"":false,""model_id"":""BAXTER-MOV-v1.0-R"",""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""retrospective_full_season"":false,""source_type"":""DERIVED_AT_INGESTION"",""transform"":""BAXTER-MOV-v1.0-R: predicted margin A = season HFA x non-neutral indicator + rating A - rating B; ratings centered to zero within season""}",,EXACT_GAME_DATE,"{""game_date"":""2006-10-07"",""season"":2006}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv,f5c6f9460ac284fa959623983de0c549457fe2957cf68cbaf8cb37136469851f,Georgia Tech,BC,HOME,4.387736999948761,7.273805525545527,1.971346144041197,3.0,W,"{""games_played_to_date"":3.0,""opponent_games_played_to_date"":3.0,""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""season_hfa_at_fit"":4.857414669637962}","{""scored_against_game_ids"":[""G2006_P1902"",""G2006_P1915"",""G2006_P1938""]}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv | Baxter_v1_2006_2011_2024_2025_Complete_Package.zip::Baxter_Ratings_v1_2006_External_Validation.xlsx [Walk Forward],2006-10-07,2006-10-07,BAXTER-MOV-v1.0-R,BAXTER-MOV-v1.0-R-FROZEN-LAMBDA-0.3-CAP-49-MINPRIOR-3,training
G2006_P1829,2006,6,GOVERNED_SYNTHETIC,DERIVED_AT_INGESTION,"{""derived_from_actual_result"":false,""model_id"":""BAXTER-MOV-v1.0-R"",""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""retrospective_full_season"":false,""source_type"":""DERIVED_AT_INGESTION"",""transform"":""BAXTER-MOV-v1.0-R: predicted margin A = season HFA x non-neutral indicator + rating A - rating B; ratings centered to zero within season""}",,EXACT_GAME_DATE,"{""game_date"":""2006-10-07"",""season"":2006}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv,f5c6f9460ac284fa959623983de0c549457fe2957cf68cbaf8cb37136469851f,South Florida,Syracuse,HOME,8.947621143731531,-3.993657853626241,17.5584169138211,9.0,W,"{""games_played_to_date"":3.0,""opponent_games_played_to_date"":4.0,""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""season_hfa_at_fit"":4.617137916463327}","{""scored_against_game_ids"":[""G2006_P1858"",""G2006_P1905"",""G2006_P2143""]}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv | Baxter_v1_2006_2011_2024_2025_Complete_Package.zip::Baxter_Ratings_v1_2006_External_Validation.xlsx [Walk Forward],2006-10-07,2006-10-07,BAXTER-MOV-v1.0-R,BAXTER-MOV-v1.0-R-FROZEN-LAMBDA-0.3-CAP-49-MINPRIOR-3,training
G2006_P1839,2006,7,GOVERNED_SYNTHETIC,DERIVED_AT_INGESTION,"{""derived_from_actual_result"":false,""model_id"":""BAXTER-MOV-v1.0-R"",""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""retrospective_full_season"":false,""source_type"":""DERIVED_AT_INGESTION"",""transform"":""BAXTER-MOV-v1.0-R: predicted margin A = season HFA x non-neutral indicator + rating A - rating B; ratings centered to zero within season""}",,EXACT_GAME_DATE,"{""game_date"":""2006-10-12"",""season"":2006}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv,f5c6f9460ac284fa959623983de0c549457fe2957cf68cbaf8cb37136469851f,Pittsburgh,Rutgers,HOME,4.823985424347339,14.61877538047916,-5.97982847390761,-3.0,L,"{""games_played_to_date"":4.0,""opponent_games_played_to_date"":4.0,""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""season_hfa_at_fit"":3.81496148222421}","{""scored_against_game_ids"":[""G2006_P2106"",""G2006_P1934"",""G2006_P1954""]}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv | Baxter_v1_2006_2011_2024_2025_Complete_Package.zip::Baxter_Ratings_v1_2006_External_Validation.xlsx [Walk Forward],2006-10-12,2006-10-12,BAXTER-MOV-v1.0-R,BAXTER-MOV-v1.0-R-FROZEN-LAMBDA-0.3-CAP-49-MINPRIOR-3,training
G2006_P1844,2006,7,GOVERNED_SYNTHETIC,DERIVED_AT_INGESTION,"{""derived_from_actual_result"":false,""model_id"":""BAXTER-MOV-v1.0-R"",""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""retrospective_full_season"":false,""source_type"":""DERIVED_AT_INGESTION"",""transform"":""BAXTER-MOV-v1.0-R: predicted margin A = season HFA x non-neutral indicator + rating A - rating B; ratings centered to zero within season""}",,EXACT_GAME_DATE,"{""game_date"":""2006-10-14"",""season"":2006}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv,f5c6f9460ac284fa959623983de0c549457fe2957cf68cbaf8cb37136469851f,Wake Forest,Florida St,HOME,-6.58561680317789,5.053075104541212,-7.610780644296391,-3.0,L,"{""games_played_to_date"":3.0,""opponent_games_played_to_date"":3.0,""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""season_hfa_at_fit"":4.027911263422713}","{""scored_against_game_ids"":[""G2006_P1927"",""G2006_P1941"",""G2006_P1963""]}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv | Baxter_v1_2006_2011_2024_2025_Complete_Package.zip::Baxter_Ratings_v1_2006_External_Validation.xlsx [Walk Forward],2006-10-14,2006-10-14,BAXTER-MOV-v1.0-R,BAXTER-MOV-v1.0-R-FROZEN-LAMBDA-0.3-CAP-49-MINPRIOR-3,training
G2006_P1845,2006,7,GOVERNED_SYNTHETIC,DERIVED_AT_INGESTION,"{""derived_from_actual_result"":false,""model_id"":""BAXTER-MOV-v1.0-R"",""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""retrospective_full_season"":false,""source_type"":""DERIVED_AT_INGESTION"",""transform"":""BAXTER-MOV-v1.0-R: predicted margin A = season HFA x non-neutral indicator + rating A - rating B; ratings centered to zero within season""}",,EXACT_GAME_DATE,"{""game_date"":""2006-10-14"",""season"":2006}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv,f5c6f9460ac284fa959623983de0c549457fe2957cf68cbaf8cb37136469851f,BC,Virginia,HOME,5.450792351425387,-10.02691634842709,19.52896581651438,25.0,W,"{""games_played_to_date"":4.0,""opponent_games_played_to_date"":5.0,""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""season_hfa_at_fit"":4.051257116661909}","{""scored_against_game_ids"":[""G2006_P2105"",""G2006_P1900"",""G2006_P1943""]}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv | Baxter_v1_2006_2011_2024_2025_Complete_Package.zip::Baxter_Ratings_v1_2006_External_Validation.xlsx [Walk Forward],2006-10-14,2006-10-14,BAXTER-MOV-v1.0-R,BAXTER-MOV-v1.0-R-FROZEN-LAMBDA-0.3-CAP-49-MINPRIOR-3,training
G2006_P1850,2006,7,GOVERNED_SYNTHETIC,DERIVED_AT_INGESTION,"{""derived_from_actual_result"":false,""model_id"":""BAXTER-MOV-v1.0-R"",""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""retrospective_full_season"":false,""source_type"":""DERIVED_AT_INGESTION"",""transform"":""BAXTER-MOV-v1.0-R: predicted margin A = season HFA x non-neutral indicator + rating A - rating B; ratings centered to zero within season""}",,EXACT_GAME_DATE,"{""game_date"":""2006-10-14"",""season"":2006}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv,f5c6f9460ac284fa959623983de0c549457fe2957cf68cbaf8cb37136469851f,Virginia Tech,Maryland,HOME,26.19784758489197,-1.731644258989395,31.03243338272127,-2.0,L,"{""games_played_to_date"":4.0,""opponent_games_played_to_date"":4.0,""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""season_hfa_at_fit"":3.102941538839896}","{""scored_against_game_ids"":[""G2006_P1880"",""G2006_P2196""]}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv | Baxter_v1_2006_2011_2024_2025_Complete_Package.zip::Baxter_Ratings_v1_2006_External_Validation.xlsx [Walk Forward],2006-10-14,2006-10-14,BAXTER-MOV-v1.0-R,BAXTER-MOV-v1.0-R-FROZEN-LAMBDA-0.3-CAP-49-MINPRIOR-3,training
G2006_P1851,2006,7,GOVERNED_SYNTHETIC,DERIVED_AT_INGESTION,"{""derived_from_actual_result"":false,""model_id"":""BAXTER-MOV-v1.0-R"",""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""retrospective_full_season"":false,""source_type"":""DERIVED_AT_INGESTION"",""transform"":""BAXTER-MOV-v1.0-R: predicted margin A = season HFA x non-neutral indicator + rating A - rating B; ratings centered to zero within season""}",,EXACT_GAME_DATE,"{""game_date"":""2006-10-14"",""season"":2006}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv,f5c6f9460ac284fa959623983de0c549457fe2957cf68cbaf8cb37136469851f,North Carolina,NC St.,HOME,-21.51867849098814,2.490451906081428,-21.36479537375641,-28.0,L,"{""games_played_to_date"":5.0,""opponent_games_played_to_date"":3.0,""rating_scale"":""BAXTER-MOV-v1.0-R season-specific opponent-adjusted margin points, ridge lambda 0.3, margin cap +/-49, minimum 3 prior games, season-specific fitted HFA, ratings centered to zero within season. Raw rating scales are season-specific and are not directly comparable across seasons."",""season_hfa_at_fit"":2.644335023313153}","{""scored_against_game_ids"":[""G2006_P2101"",""G2006_P2117"",""G2006_P1903""]}",NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup_Package.zip::NCAA_Phase4M_2006_2011_Week_By_Week_Cleanup/data/verified_week_by_week_2006_2011.csv | Baxter_v1_2006_2011_2024_2025_Complete_Package.zip::Baxter_Ratings_v1_2006_External_Validation.xlsx [Walk Forward],2006-10-14,2006-10-14,BAXTER-MOV-v1.0-R,BAXTER-MOV-v1.0-R-FROZEN-LAMBDA-0.3-CAP-49-MINPRIOR-3,training
