game_id,season,season_type,week,kickoff_utc,kickoff_epoch,home_team_id,home_team_name,home_team_school,away_team_id,away_team_name,away_team_school,home_points,away_points,home_margin,home_division,away_division,home_conference,away_conference,cross_division,neutral_site,venue_name,venue_city,venue_state,competition_type,conference_competition,overtime,source_authority,source_authority_tier,source_url,source_raw_sha256,tier_1_corroboration
ESPN-2020-401238035,2020,REGULAR_SEASON,1,2020-09-04T00:00:00Z,1599177600,5,UAB Blazers,UAB,2110,Central Arkansas Bears,Central Arkansas,45,35,10,FBS,FCS,Conference USA,Southland Conference,True,False,Legion Field (AL),Birmingham,AL,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200903&groups=80&limit=400,75a1453108b3610369327dde5b7e60d997d800c6609f66c16d5993dba693c8ff,CORROBORATED_BY_TIER_1
ESPN-2020-401207101,2020,REGULAR_SEASON,1,2020-09-04T01:00:00Z,1599181200,2572,Southern Mississippi Golden Eagles,Southern Mississippi,6,South Alabama Jaguars,South Alabama,21,32,-11,FBS,FBS,Conference USA,Sun Belt Conference,False,False,M. M. Roberts Stadium,Hattiesburg,MS,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200903&groups=80&limit=400,75a1453108b3610369327dde5b7e60d997d800c6609f66c16d5993dba693c8ff,CORROBORATED_BY_TIER_1
ESPN-2020-401237353,2020,REGULAR_SEASON,1,2020-09-05T17:00:00Z,1599325200,276,Marshall Thundering Herd,Marshall,2198,Eastern Kentucky Colonels,Eastern Kentucky,59,0,59,FBS,FCS,Conference USA,Ohio Valley Conference,True,False,Joan C. Edwards Stadium,Huntington,WV,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200905&groups=80&limit=400,30e86e3848af528a1faca79ad61c8622e7855002116b78949094168aba39f9c1,CORROBORATED_BY_TIER_1
ESPN-2020-401235700,2020,REGULAR_SEASON,1,2020-09-05T17:30:00Z,1599327000,349,Army Black Knights,Army,2393,Middle Tennessee Blue Raiders,Middle Tennessee,42,0,42,FBS,FBS,FBS Independents,Conference USA,False,False,Michie Stadium,West Point,NY,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200905&groups=80&limit=400,30e86e3848af528a1faca79ad61c8622e7855002116b78949094168aba39f9c1,CORROBORATED_BY_TIER_1
ESPN-2020-401212484,2020,REGULAR_SEASON,1,2020-09-05T20:30:00Z,1599337800,326,Texas State Bobcats,Texas State,2567,SMU Mustangs,SMU,24,31,-7,FBS,FBS,Sun Belt Conference,American Conference,False,False,UFCU Stadium,San Marcos,TX,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200905&groups=80&limit=400,30e86e3848af528a1faca79ad61c8622e7855002116b78949094168aba39f9c1,CORROBORATED_BY_TIER_1
ESPN-2020-401207098,2020,REGULAR_SEASON,1,2020-09-05T23:30:00Z,1599348600,249,North Texas Mean Green,North Texas,2277,Houston Baptist Huskies,Houston Baptist,57,31,26,FBS,FCS,Conference USA,Southland Conference,True,False,DATCU Stadium,Denton,TX,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200905&groups=80&limit=400,30e86e3848af528a1faca79ad61c8622e7855002116b78949094168aba39f9c1,CORROBORATED_BY_TIER_1
ESPN-2020-401212553,2020,REGULAR_SEASON,1,2020-09-06T00:00:00Z,1599350400,235,Memphis Tigers,Memphis,2032,Arkansas State Red Wolves,Arkansas State,37,24,13,FBS,FBS,American Conference,Sun Belt Conference,False,False,Simmons Bank Liberty Stadium,Memphis,TN,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200905&groups=80&limit=400,30e86e3848af528a1faca79ad61c8622e7855002116b78949094168aba39f9c1,CORROBORATED_BY_TIER_1
ESPN-2020-401239884,2020,REGULAR_SEASON,1,2020-09-06T01:00:00Z,1599354000,2638,UTEP Miners,UTEP,2617,Stephen F. Austin Lumberjacks,Stephen F. Austin,24,14,10,FBS,FCS,Conference USA,Southland Conference,True,False,Sun Bowl,El Paso,TX,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200905&groups=80&limit=400,30e86e3848af528a1faca79ad61c8622e7855002116b78949094168aba39f9c1,CORROBORATED_BY_TIER_1
ESPN-2020-401234576,2020,REGULAR_SEASON,1,2020-09-08T00:00:00Z,1599523200,2426,Navy Midshipmen,Navy,252,BYU Cougars,BYU,3,55,-52,FBS,FBS,American Conference,FBS Independents,False,False,Navy-Marine Corps Memorial Stadium,Annapolis,MD,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200907&groups=80&limit=400,566d4c1d9154e1c5af3cdf762730b771826b9f8ae3398ce0bc80870e73e56b75,CORROBORATED_BY_TIER_1
ESPN-2020-401234559,2020,REGULAR_SEASON,2,2020-09-11T00:00:00Z,1599782400,2390,Miami Hurricanes,Miami,5,UAB Blazers,UAB,31,14,17,FBS,FBS,Atlantic Coast Conference,Conference USA,False,False,Hard Rock Stadium,Miami Gardens,FL,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200910&groups=80&limit=400,3196d1bf2d8829f84b56472084ca2e8c178a6a5b4cec18c90269f878d11232f9,CORROBORATED_BY_TIER_1
