season,team_key,team_name,division,conference,source_confidence_marker
2021,Air Force,Air Force,FBS,Mountain West,N
2021,Akron,Akron,FBS,MAC,N
2021,Alabama,Alabama,FBS,SEC,N
2021,Alabama A&M,Alabama A&M,FCS,SWAC,N
2021,Alabama St.,Alabama St.,FCS,SWAC,N
2021,Albany,Albany,FCS,CAA,N
2021,Alcorn St.,Alcorn St.,FCS,SWAC,N
2021,Appalachian State,Appalachian State,FBS,Sun Belt,N
2021,Arizona,Arizona,FBS,Pac-12,N
2021,Arizona St.,Arizona St.,FBS,Pac-12,N
2021,Arkansas,Arkansas,FBS,SEC,N
2021,Arkansas St.,Arkansas St.,FBS,Sun Belt,N
2021,Arkansas-Pine Bluff,Arkansas-Pine Bluff,FCS,SWAC,N
2021,Army,Army,FBS,FBS Independent,N
2021,Auburn,Auburn,FBS,SEC,N
2021,Austin Peay,Austin Peay,FCS,OVC,N
2021,BC,BC,FBS,ACC,N
2021,BYU,BYU,FBS,FBS Independent,N
2021,Ball State,Ball State,FBS,MAC,N
2021,Baylor,Baylor,FBS,Big 12,N
2021,Bethune-Cookman,Bethune-Cookman,FCS,SWAC,N
2021,Boise St.,Boise St.,FBS,Mountain West,N
2021,Bowling Green,Bowling Green,FBS,MAC,N
2021,Brown,Brown,FCS,Ivy League,N
2021,Bryant,Bryant,FCS,NEC,N
2021,Bucknell,Bucknell,FCS,Patriot League,N
2021,Buffalo,Buffalo,FBS,MAC,N
2021,Butler,Butler,FCS,Pioneer,N
2021,Cal Poly,Cal Poly,FCS,Big Sky,N
2021,California,California,FBS,Pac-12,N
2021,Campbell,Campbell,FCS,Big South,N
2021,Central Arkansas,Central Arkansas,FCS,ASUN,N
2021,Central Connecticut,Central Connecticut,FCS,NEC,N
2021,Central Florida,Central Florida,FBS,American,N
2021,Central Michigan,Central Michigan,FBS,MAC,N
2021,Charleston Southern,Charleston Southern,FCS,Big South,N
2021,Charlotte,Charlotte,FBS,Conference USA,N
2021,Cincinnati,Cincinnati,FBS,American,N
2021,Clemson,Clemson,FBS,ACC,N
2021,Coastal Carolina,Coastal Carolina,FBS,Sun Belt,N
2021,Colgate,Colgate,FCS,Patriot League,N
2021,Colorado,Colorado,FBS,Pac-12,N
2021,Colorado St.,Colorado St.,FBS,Mountain West,N
2021,Columbia,Columbia,FCS,Ivy League,N
2021,Cornell,Cornell,FCS,Ivy League,N
2021,Dartmouth,Dartmouth,FCS,Ivy League,N
2021,Davidson,Davidson,FCS,Pioneer,N
2021,Dayton,Dayton,FCS,Pioneer,N
2021,Delaware,Delaware,FCS,CAA,N
2021,Delaware St.,Delaware St.,FCS,MEAC,N
2021,Drake,Drake,FCS,Pioneer,N
2021,Duke,Duke,FBS,ACC,N
2021,Duquesne,Duquesne,FCS,NEC,N
2021,East Carolina,East Carolina,FBS,American,N
2021,Eastern Illinois,Eastern Illinois,FCS,OVC,N
2021,Eastern Kentucky,Eastern Kentucky,FCS,ASUN,N
2021,Eastern Michigan,Eastern Michigan,FBS,MAC,N
2021,Eastern Washington,Eastern Washington,FCS,Big Sky,N
2021,Elon,Elon,FCS,CAA,N
2021,Florida,Florida,FBS,SEC,N
2021,Florida A&M,Florida A&M,FCS,SWAC,N
2021,Florida Atlantic,Florida Atlantic,FBS,Conference USA,N
2021,Florida International,Florida International,FBS,Conference USA,N
2021,Florida St,Florida St,FBS,ACC,N
2021,Fordham,Fordham,FCS,Patriot League,N
2021,Fresno St.,Fresno St.,FBS,Mountain West,N
2021,Furman,Furman,FCS,SoCon,N
2021,Gardner-Webb,Gardner-Webb,FCS,Big South,N
2021,Georgetown,Georgetown,FCS,Patriot League,N
2021,Georgia,Georgia,FBS,SEC,N
2021,Georgia Southern,Georgia Southern,FBS,Sun Belt,N
2021,Georgia St.,Georgia St.,FBS,Sun Belt,N
2021,Georgia Tech,Georgia Tech,FBS,ACC,N
