game_id,season,week,event_time,team,opponent,actual_margin,game_result,source_provenance,recorded_at,split
NCAA-2021-352898,2021,1,2021-08-28T17:00:00+00:00,ILL,NEB,8,W,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-352793,2021,1,2021-08-28T18:00:00+00:00,FRES,UConn,45,W,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-353643,2021,1,2021-08-28T19:30:00+00:00,UCLA,HAW,34,W,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-353178,2021,1,2021-08-29T01:30:00+00:00,NMSU,UTEP,-27,L,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-353636,2021,1,2021-09-02T23:00:00+00:00,UCF,BOISE,5,W,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-353143,2021,1,2021-09-02T23:30:00+00:00,NCSU,USF,45,W,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-353045,2021,1,2021-09-03T00:00:00+00:00,MINN,OSU,-14,L,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-353741,2021,1,2021-09-03T22:00:00+00:00,VT,UNC,7,W,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-353136,2021,1,2021-09-03T23:00:00+00:00,CHAR,DUKE,3,W,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-353756,2021,1,2021-09-03T23:00:00+00:00,WAKE,ODU,32,W,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-353199,2021,1,2021-09-04T01:00:00+00:00,NU,MSU,-17,L,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-2081798,2021,1,2021-09-04T16:00:00+00:00,RUTG,TEM,47,W,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-353791,2021,1,2021-09-04T16:00:00+00:00,WIS,PSU,-6,L,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-353977,2021,1,2021-09-04T16:00:00+00:00,KSU,STAN,17,W,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-365768,2021,1,2021-09-04T16:00:00+00:00,OU,TLN,5,W,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-352576,2021,1,2021-09-04T18:00:00+00:00,ARK,RICE,21,W,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-353248,2021,1,2021-09-04T18:00:00+00:00,ORE,FRES,7,W,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-352919,2021,1,2021-09-04T19:30:00+00:00,IOWA,IU,28,W,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-353122,2021,1,2021-09-04T19:30:00+00:00,NAVY,MRSH,-42,L,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-353978,2021,1,2021-09-04T19:30:00+00:00,MIA,ALA,-31,L,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-352474,2021,1,2021-09-04T20:00:00+00:00,MSST,LT,1,W,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-353010,2021,1,2021-09-04T20:30:00+00:00,MD,WVU,6,W,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
NCAA-2021-364339,2021,1,2021-09-04T22:00:00+00:00,USC,SJSU,23,W,NCAA_OFFICIAL_SCOREBOARD_FEED|https://data.ncaa.com/casablanca/scoreboard/football/fbs/2021/01/scoreboard.json,2026-08-22T03:41:50+00:00,training
